run,a,Rs,Rp,fitness,nfes
1,1.2335430419780138,0.20971295108694313,154.12429973493715,1.0844514830253847e-10,40020
2,0.5,0.4512077970667804,50.0,4.5464093980659855e-10,40020
3,0.8299402814036073,0.17097893509973777,50.0,8.609172991210401e-14,40020
4,1.3285599290749504,0.030815413442388712,74.21633521085872,3.07090489400533e-09,40020
5,0.5898701877591745,0.37532945626538794,50.0,2.251025988951661e-14,40020
6,1.0272498756145734,0.001,50.0,2.408317082926522e-10,40020
7,1.0272942567535592,0.001,50.0,5.333029306211107e-13,40020
8,1.027293901161367,0.001,50.0,7.204128514774409e-13,40020
9,0.815576824360672,0.18328904604709778,50.0,3.285526514865286e-11,40020
10,1.027281660935718,0.001,50.0,2.428091132910175e-11,40020
11,1.2140382946681694,0.10873654268931077,75.58583253122745,7.608749608700417e-11,40020
12,1.0272993853403873,0.001,50.0,9.579635679436236e-13,40020
13,1.0273028817583576,0.001,50.0,4.596319559361158e-12,40020
14,1.4639365034892513,0.0323983199721357,103.37242265767601,1.7053358073014278e-11,40020
15,1.5080354440327326,0.01414438909737179,107.2939044122255,1.8457194567999019e-09,40020
16,0.8130844975354763,0.18541052154821788,50.0,2.261466049769256e-14,40020
17,1.174901220213562,0.09467257036404919,67.25805348894235,6.530819467932485e-15,5100
18,1.0273289043660838,0.001,50.0,1.1698600579652428e-10,40020
19,1.578062881618183,0.030272262839745268,160.73818322779,9.710148097686995e-11,40020
20,1.3139391624885823,0.001,67.0030113111565,1.4294079038459791e-10,40020
21,0.820214723587428,0.17931179085904358,50.0,5.0630315671708544e-12,40020
22,0.5,0.45120800841800346,50.0,4.6243547414819046e-10,40020
23,1.671123208165093,0.001,200.0,5.119745098896897e-10,40020
24,1.0272940062054083,0.001,50.0,6.622169435183924e-13,40020
25,0.5,0.4511761168936412,50.0,3.544735418507522e-11,40020
26,0.6895224484748326,0.4977512907245768,147.6294614338987,4.0185705061235223e-10,40020
27,1.0272971303343061,0.001,50.0,5.166672506453414e-14,40020
28,0.6294116956378905,0.4179701300828534,58.348254735096255,3.215926272713158e-12,40020
29,1.0272972411532353,0.001,50.0,6.981859995987477e-14,40020
30,0.5,0.45118454425746213,50.0,1.6928760184839308e-12,40020
